Emotion,Symbol(全て全角),集約先,,
安らぎ,安,喜び,,プルチック（右図）とイザードを統合
楽しさ,楽,喜び,,イザード：楽しみ、興味、恐れ、驚き、嫌悪、軽蔑、怒り、苦悩、羞恥、罪
親しみ,親,信頼,,
尊敬・尊さ,尊,信頼,,喜び、信頼、恐れ、驚き、悲しみ、嫌悪、怒り、期待、苦悩、羞恥
感謝,感,喜び,,
気持ちが良い,気,喜び,,
誇らしい,誇,喜び,,
感動,動,喜び,,
喜び,喜,喜び,,
悲しさ,悲,悲しみ,,
寂しさ,寂,悲しみ,,
不満,不,怒り,,
切なさ,切,悲しみ,,
苦しさ,苦,苦悩,,
不安,ふ,恐れ,,
憂鬱,鬱,苦悩,,
辛さ,辛,苦悩,,
好き,好,喜び,,
嫌悪,嫌,嫌悪,,
恥ずかしい,恥,羞恥,,
焦り,焦,苦悩,,
驚き,驚,驚き,,
怒り,怒,怒り,,
幸福感,幸,喜び,,
恨み,恨,怒り,,
恐れ（恐縮等の意味で）,恐,苦悩,,
恐怖,怖,恐れ,,
悔しさ,悔,苦悩,,
祝う気持ち,祝,喜び,,
困惑,困,驚き,,
きまずさ,き,苦悩,,
興奮,興,喜び,,
悩み,悩,苦悩,,
願望,願,期待,,
失望,失,悲しみ,,
あわれみ,憐,悲しみ,,
見下し,見,嫌悪,,
謝罪,謝,苦悩,,
ためらい,た,苦悩,,
不快,Ｆ,嫌悪,,
怠さ,怠,苦悩,,
あきれ,あ,嫌悪,,
心配,心,恐れ,,
緊張,緊,恐れ,,
妬み,妬,嫌悪,,
憎い,憎,嫌悪,,
残念,残,悲しみ,,
情けない,情,羞恥,,
穏やか,穏,喜び,,
